913,Twenty One Pilots ,Tear in My Heart,477,0.0,53,0,176115,5.7900229E7
471,Nio Garcia ,Te Boté  Remix,303,0.0,35,0,552785,1.09733059E8
102,Tyga ,Taste,486,54.0,3,(x1),1484893,2.7229313E8
704,Bad Bunny ,Tarot,172,2.0,10,0,1639773,7.4979912E7
861,NAV ,Tap,191,0.0,46,0,521319,6.1001749E7
873,Bruno Mars ,Talking to the Moon,242,0.0,56,0,341216,5.9926571E7
961,Tove Lo ,Talking Body,260,4.0,8,0,470463,5.4890193E7
237,Khalid ,Talk,341,42.0,5,0,1284719,1.78662883E8
859,Trippie Redd ,Taking A Walk,170,1.0,6,0,1243239,6.1035074E7
402,DJ Snake ,Taki Taki,238,27.0,4,0,1308756,1.26096694E8
436,Post Malone ,Take What You Want,229,24.0,2,(x5),2796808,1.17464544E8
308,Hozier ,Take Me To Church,644,147.0,1,(x58),669026,1.52777306E8
283,Migos ,TShirt,393,23.0,6,0,1068559,1.62318539E8
562,DaBaby ,TOES,238,1.0,8,0,1050000,9.4674586E7
320,THE SCOTTS ,THE SCOTTS,237,70.0,1,(x13),3345119,1.47793519E8
290,Lil Nas X ,THATS WHAT I WANT,358,23.0,2,(x1),1896424,1.60369392E8
121,A Boogie Wit da Hoodie ,Swervin,564,37.0,6,0,1154453,2.58648283E8
953,Megan Thee Stallion ,Sweetest Pie,169,6.0,2,(x1),936045,5.5276845E7
475,Ava Max ,Sweet but Psycho,320,0.0,30,0,590175,1.09220489E8
35,The Neighbourhood ,Sweater Weather,1050,0.0,12,0,671844,4.00804036E8
345,Rae Sremmurd ,Swang,393,0.0,21,0,680384,1.41632137E8
700,Jason Derulo ,Swalla,209,0.0,32,0,574089,7.5063678E7
675,Jessica Darrow ,Surface Pressure,136,60.0,3,(x1),1003606,7.8691499E7
263,Kodak Black ,Super Gremlin,346,117.0,2,(x9),1054999,1.71909115E8
554,Nicki Minaj ,Super Freaky Girl,137,66.0,2,(x12),1573025,9.6391022E7
616,BENEE ,Supalonely,176,0.0,18,0,690878,8.6449441E7
527,Nicky Youre ,Sunroof,238,0.0,19,0,642413,1.00753638E8
1,Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,1506,302.0,1,(x29),2118242,8.83369738E8
244,Surfaces ,Sunday Best,412,0.0,13,0,751886,1.76430872E8
831,Drake ,Summer Sixteen,225,5.0,9,0,623803,6.3425374E7
668,Lil Baby ,Sum 2 Prove,225,0.0,16,0,851468,7.9172412E7
768,YNW Melly ,Suicidal (Remix),197,0.0,21,0,882055,6.8953277E7
462,YNW Melly ,Suicidal,216,19.0,6,0,1113095,1.11505967E8
105,DaBaby ,Suge,516,51.0,3,(x4),1224726,2.70915921E8
762,Robin Schulz ,Sugar,304,0.0,27,0,366223,6.9518913E7
502,Maroon 5 ,Sugar,478,67.0,1,(x5),667233,1.0486446E8
456,Lil Wayne ,Sucker For Pain,344,0.0,12,0,704290,1.13258771E8
197,Jonas Brothers ,Sucker,414,30.0,1,(x11),3105964,1.9969518E8
685,Ariana Grande ,Stuck with U,196,10.0,1,(x2),2365819,7.7527054E7
560,Lil Mosey ,Stuck In A Dream,241,6.0,6,0,953948,9.547591E7
376,Liam Payne ,Strip That Down,311,0.0,11,0,770674,1.33182143E8
180,Twenty One Pilots ,Stressed Out,706,90.0,3,(x2),835612,2.07439306E8
206,Doja Cat ,Streets,477,57.0,3,(x12),1024708,1.95884808E8
325,Shawn Mendes ,Stitches,535,82.0,5,0,668552,1.46222899E8
247,Migos ,Stir Fry,336,60.0,2,(x12),1499177,1.75630677E8
692,Drake ,Still Here,279,0.0,15,0,642304,7.6042372E7
896,Noah Kahan ,Stick Season,168,0.0,33,0,484740,5.8383443E7
483,Sam Smith ,Stay With Me,548,127.0,1,(x2),442402,1.08129184E8
730,Kygo ,Stay,252,0.0,19,0,432401,7.213925E7
653,Post Malone ,Stay,179,15.0,4,0,2703178,8.0957121E7
288,Zedd ,Stay,317,4.0,9,0,977390,1.61032066E8
30,The Kid LAROI ,Stay,531,271.0,1,(x45),2345292,4.26712325E8
939,Steve Lacy ,Static,131,0.0,22,0,593606,5.6250712E7
297,Hailee Steinfeld ,Starving,423,36.0,9,0,765280,1.58320524E8
747,A Boogie Wit da Hoodie ,Startender,154,0.0,15,0,838288,7.047218E7
958,Roddy Ricch ,Start Wit Me,148,0.0,41,0,571755,5.501838E7
761,The Weeknd ,Stargirl Interlude,209,0.0,22,0,612149,6.9531121E7
47,The Weeknd ,Starboy,785,141.0,1,(x29),2070596,3.68997138E8
